Settings,,default,no-redcost,default,no-redcost
,,Time,Time,Status,Status
ProblemName,Seed,,,,
bnatt350,3.0,619.16,351.62,ok,ok
bnatt350,4.0,440.7,410.48,ok,ok
bnatt350,5.0,311.81,348.12,ok,ok
bnatt350,6.0,477.9,470.58,ok,ok
bnatt350,7.0,169.09,160.05,ok,ok
bnatt350,8.0,315.48,535.06,ok,ok
bnatt350,9.0,209.07,402.58,ok,ok
core2536-691,0.0,3600.0,626.98,timelimit,ok
core2536-691,1.0,2169.65,720.3,ok,ok
core2536-691,2.0,336.71,403.36,ok,ok
core2536-691,3.0,2466.48,549.9,ok,ok
core2536-691,4.0,2208.32,519.46,ok,ok
core2536-691,5.0,410.12,414.64,ok,ok
core2536-691,6.0,3332.64,1978.19,ok,ok
core2536-691,7.0,3600.0,3600.01,timelimit,timelimit
core2536-691,8.0,2239.1,3600.01,ok,timelimit
core2536-691,9.0,3226.49,2714.86,ok,ok
cov1075,0.0,3600.0,3600.0,timelimit,timelimit
cov1075,1.0,3600.0,3600.0,timelimit,timelimit
cov1075,2.0,3600.0,3600.0,timelimit,timelimit
cov1075,3.0,3600.0,3600.0,timelimit,timelimit
cov1075,4.0,3600.0,3600.0,timelimit,timelimit
cov1075,5.0,3600.0,3600.0,timelimit,timelimit
cov1075,6.0,3600.0,3600.0,timelimit,timelimit
cov1075,7.0,3600.0,3600.0,timelimit,timelimit
cov1075,8.0,3600.0,3600.0,timelimit,timelimit
cov1075,9.0,3600.0,3600.0,timelimit,timelimit
csched010,0.0,3600.0,3600.0,timelimit,timelimit
csched010,1.0,3600.0,3600.0,timelimit,timelimit
csched010,2.0,3600.0,3600.0,timelimit,timelimit
csched010,3.0,3600.0,3600.0,timelimit,timelimit
csched010,4.0,3600.0,3600.0,timelimit,timelimit
csched010,5.0,3600.0,3600.01,timelimit,timelimit
csched010,6.0,3600.0,3600.0,timelimit,timelimit
csched010,7.0,3600.0,3600.0,timelimit,timelimit
csched010,8.0,3600.01,3600.0,timelimit,timelimit
csched010,9.0,3600.0,3600.0,timelimit,timelimit
danoint,0.0,3600.0,3600.0,timelimit,timelimit
danoint,1.0,3600.0,3600.0,timelimit,timelimit
danoint,2.0,3600.0,3600.0,timelimit,timelimit
danoint,3.0,3600.0,3600.0,timelimit,timelimit
danoint,4.0,3600.0,3600.0,timelimit,timelimit
danoint,5.0,3600.0,3600.0,timelimit,timelimit
danoint,6.0,3600.0,3600.0,timelimit,timelimit
danoint,7.0,3600.0,3600.0,timelimit,timelimit
danoint,8.0,3600.0,3600.0,timelimit,timelimit
danoint,9.0,3600.0,3600.0,timelimit,timelimit
dfn-gwin-UUM,0.0,79.98,99.47,ok,ok
dfn-gwin-UUM,1.0,116.44,122.23,ok,ok
dfn-gwin-UUM,2.0,119.26,130.54,ok,ok
dfn-gwin-UUM,3.0,124.71,130.19,ok,ok
dfn-gwin-UUM,4.0,115.14,127.37,ok,ok
dfn-gwin-UUM,5.0,115.38,125.31,ok,ok
dfn-gwin-UUM,6.0,114.81,128.8,ok,ok
dfn-gwin-UUM,7.0,116.58,136.72,ok,ok
dfn-gwin-UUM,8.0,122.12,129.85,ok,ok
dfn-gwin-UUM,9.0,126.16,128.22,ok,ok
eil33-2,0.0,68.87,75.68,ok,ok
eil33-2,1.0,66.81,76.6,ok,ok
eil33-2,2.0,65.74,74.23,ok,ok
eil33-2,3.0,65.05,85.99,ok,ok
eil33-2,4.0,59.92,78.5,ok,ok
eil33-2,5.0,69.91,84.75,ok,ok
eil33-2,6.0,68.87,72.43,ok,ok
eil33-2,7.0,64.05,81.87,ok,ok
eil33-2,8.0,67.85,76.13,ok,ok
eil33-2,9.0,77.43,76.92,ok,ok
eilB101,0.0,431.92,519.85,ok,ok
eilB101,1.0,483.02,697.04,ok,ok
eilB101,2.0,449.5,506.96,ok,ok
eilB101,3.0,449.02,424.88,ok,ok
eilB101,4.0,453.61,549.9,ok,ok
eilB101,5.0,476.42,426.32,ok,ok
eilB101,6.0,427.21,559.14,ok,ok
eilB101,7.0,451.1,432.02,ok,ok
eilB101,8.0,434.79,453.95,ok,ok
eilB101,9.0,417.2,466.4,ok,ok
enlight13,0.0,0.5,0.5,ok,ok
enlight13,1.0,0.5,0.5,ok,ok
enlight13,2.0,0.5,0.5,ok,ok
enlight13,3.0,0.5,0.5,ok,ok
enlight13,4.0,0.5,0.5,ok,ok
enlight13,5.0,0.5,0.5,ok,ok
enlight13,6.0,0.5,0.5,ok,ok
enlight13,7.0,0.5,0.5,ok,ok
enlight13,8.0,0.5,0.5,ok,ok
enlight13,9.0,0.5,0.5,ok,ok
enlight14,0.0,0.5,0.5,ok,ok
enlight14,1.0,0.5,0.5,ok,ok
enlight14,2.0,0.5,0.5,ok,ok
enlight14,3.0,0.5,0.5,ok,ok
enlight14,4.0,0.5,0.5,ok,ok
enlight14,5.0,0.5,0.5,ok,ok
enlight14,6.0,0.5,0.5,ok,ok
enlight14,7.0,0.5,0.5,ok,ok
enlight14,8.0,0.5,0.5,ok,ok
enlight14,9.0,0.5,0.5,ok,ok
ex9,0.0,46.48,44.44,ok,ok
ex9,1.0,41.81,37.88,ok,ok
ex9,2.0,37.73,37.9,ok,ok
ex9,3.0,42.64,41.49,ok,ok
ex9,4.0,41.44,36.79,ok,ok
ex9,5.0,46.62,45.87,ok,ok
ex9,6.0,38.26,36.81,ok,ok
ex9,7.0,44.34,41.35,ok,ok
ex9,8.0,52.15,48.87,ok,ok
ex9,9.0,44.66,41.41,ok,ok
glass4,0.0,2155.29,952.1,ok,ok
glass4,1.0,3182.59,3600.01,ok,timelimit
glass4,2.0,3600.0,3600.02,timelimit,timelimit
glass4,3.0,2123.13,3600.01,ok,timelimit
glass4,4.0,1183.37,781.42,ok,ok
glass4,5.0,2526.22,1149.25,ok,ok
glass4,6.0,2031.97,2198.12,ok,ok
glass4,7.0,3600.01,694.88,timelimit,ok
glass4,8.0,1960.91,2664.48,ok,ok
glass4,9.0,3600.02,1985.85,timelimit,ok
gmu-35-40,0.0,3600.03,3600.05,timelimit,timelimit
gmu-35-40,1.0,3600.01,3600.03,timelimit,timelimit
gmu-35-40,2.0,3600.03,3600.04,timelimit,timelimit
gmu-35-40,3.0,3600.03,3600.05,timelimit,timelimit
gmu-35-40,4.0,3600.02,3600.05,timelimit,timelimit
gmu-35-40,5.0,3600.02,3600.05,timelimit,timelimit
gmu-35-40,6.0,3600.03,3600.03,timelimit,timelimit
gmu-35-40,7.0,3600.05,3600.09,timelimit,timelimit
gmu-35-40,8.0,3600.05,3600.03,timelimit,timelimit
gmu-35-40,9.0,3600.04,3600.03,timelimit,timelimit
iis-100-0-cov,0.0,505.21,543.15,ok,ok
iis-100-0-cov,1.0,528.41,512.66,ok,ok
iis-100-0-cov,2.0,540.06,542.43,ok,ok
iis-100-0-cov,3.0,577.31,590.47,ok,ok
iis-100-0-cov,4.0,619.62,636.58,ok,ok
iis-100-0-cov,5.0,492.98,523.72,ok,ok
iis-100-0-cov,6.0,533.64,561.84,ok,ok
iis-100-0-cov,7.0,639.78,652.36,ok,ok
iis-100-0-cov,8.0,535.11,524.77,ok,ok
iis-100-0-cov,9.0,557.26,549.95,ok,ok
iis-bupa-cov,0.0,2488.72,2016.86,ok,ok
iis-bupa-cov,1.0,2506.36,2101.73,ok,ok
iis-bupa-cov,2.0,2259.6,2159.91,ok,ok
iis-bupa-cov,3.0,2391.44,2214.44,ok,ok
iis-bupa-cov,4.0,2156.28,2040.07,ok,ok
iis-bupa-cov,5.0,2290.95,2142.64,ok,ok
iis-bupa-cov,6.0,2256.78,2149.3,ok,ok
iis-bupa-cov,7.0,2225.66,2234.39,ok,ok
iis-bupa-cov,8.0,2261.85,3600.01,ok,timelimit
iis-bupa-cov,9.0,2264.87,2238.25,ok,ok
