Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50v-10,3,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,2616.99,5979.84,4910.52,3293.64,3556.49,2768.72,6590.36,12354.21,2616.39,2606.27,2618.85,2084.7,4120.88,5429.49
50v-10,4,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,2634.23,4738.17,6034.98,6833.73,3006.81,2644.43,4865.01,12380.33,2629.03,2613.52,2637.52,1865.71,2917.48,5753.82
Test3,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,fail_solution_infeasible,ok,238.77,273.19,498.91,650.49,233.83,454.09,220.23,1255.0,858.0,598.0,1232.43,248.79,234.46,221.91
Test3,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timelimit,ok,ok,ok,242.24,1784.61,530.66,702.89,236.0,512.03,245.92,1822.0,704.04,622.0,837.65,248.96,241.16,244.19
Test3,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timelimit,ok,ok,ok,222.42,1407.15,539.19,749.72,249.36,488.02,240.8,1518.0,649.0,623.0,1167.77,248.72,240.47,231.82
Test3,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,223.75,2194.76,565.61,705.03,249.99,670.34,267.25,2041.0,849.0,616.0,810.5,274.95,241.43,242.63
Test3,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,226.13,2046.28,486.25,724.41,246.91,494.97,253.7,1360.0,739.0,646.0,1184.97,276.69,241.88,218.51
a1c1s1,0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,16056.15,31098.46,37607.33,23694.6,23304.08,23685.49,19211.41,60000.0,15490.57,16369.6,21226.79,19189.66,26707.52,41627.86
a1c1s1,1,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,16392.51,29899.89,35608.12,26648.32,24482.84,23504.21,21072.62,60001.0,16511.46,14593.45,20009.07,18863.43,24510.68,41639.22
a1c1s1,2,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,16465.89,29018.71,36713.53,27841.18,23099.08,23770.06,20313.79,60000.0,17729.51,16033.26,21588.57,19134.82,23718.42,42898.28
