Settings,,default,emphasis_cpsolver,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_cpsolver,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATS-d_regions-goods200-bids1000_0002,4,141.8,600.0,158.58,134.5,300.23,600.01,137.2,82.8,104.75,95.85,94.43,145.08,167.74,142.27,163.86,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0003,0,44.99,600.0,42.81,73.72,166.88,481.61,55.61,49.18,44.74,36.3,39.58,70.45,51.64,46.53,62.42,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0003,1,44.68,600.0,51.01,72.37,174.74,481.95,61.07,47.09,44.93,37.33,39.4,70.8,51.52,45.04,53.89,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0003,2,40.86,600.0,45.22,71.96,134.69,481.3,49.56,44.78,45.63,35.86,40.67,75.76,50.04,41.61,59.78,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0003,3,40.03,600.0,41.67,74.68,135.37,481.12,48.92,48.43,45.18,37.65,40.45,73.43,52.22,40.69,60.55,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0003,4,40.76,600.0,44.51,71.89,143.05,485.89,49.45,49.31,43.56,36.53,41.1,76.71,62.83,41.23,63.61,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0004,0,21.6,600.0,17.81,28.02,45.35,132.02,23.04,24.78,17.89,24.05,21.96,22.71,25.73,21.87,18.81,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0004,1,24.07,600.0,18.44,28.46,28.55,130.83,28.96,26.8,17.93,36.26,21.79,25.22,28.75,24.4,19.24,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0004,2,24.84,600.0,20.71,28.18,29.73,132.16,29.85,27.33,17.84,23.56,22.0,25.32,25.34,25.39,19.01,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0004,3,21.65,600.0,19.18,27.95,28.18,131.07,23.14,23.41,17.91,23.43,21.14,22.48,30.34,21.75,19.3,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
