Settings,,default,emphasis_cpsolver,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_cpsolver,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATS-d_regions-goods200-bids1000_0565,2,15.51,600.0,9.24,15.13,8.11,47.79,16.09,8.16,8.68,18.97,8.95,16.18,21.31,15.77,14.35,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0565,3,15.49,600.0,9.16,15.29,8.04,47.62,15.89,8.11,8.72,18.91,8.95,16.26,14.2,15.82,14.16,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0565,4,15.4,600.0,9.13,15.1,8.08,47.66,15.76,8.11,8.71,19.09,8.97,17.23,15.69,15.57,14.38,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0566,0,36.27,600.0,31.25,48.21,111.95,253.44,47.37,33.7,31.78,35.24,42.56,39.54,46.78,37.11,37.45,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0566,1,41.93,600.0,30.16,45.58,111.54,251.72,60.23,34.85,31.31,33.37,40.86,41.37,45.94,42.84,38.9,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0566,2,40.28,600.0,36.75,47.62,105.93,251.69,58.45,32.43,30.51,35.54,40.93,39.96,48.31,40.91,41.57,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0566,3,36.8,600.0,31.24,50.72,110.12,252.69,45.79,32.18,32.06,35.62,41.21,39.71,46.75,37.45,35.74,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0566,4,35.17,600.0,30.24,45.48,110.93,251.16,41.66,33.83,32.51,36.88,40.76,39.75,46.65,35.2,41.28,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0567,0,74.92,600.0,75.81,111.88,254.54,547.11,71.81,101.7,55.62,88.7,55.17,110.93,74.04,76.42,109.94,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0567,1,48.03,600.0,69.96,102.02,269.73,549.59,77.45,81.24,55.85,72.62,48.84,116.26,99.3,49.04,105.16,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0567,2,50.55,600.0,73.47,102.1,255.59,550.85,65.81,91.09,56.28,113.51,57.15,110.74,115.68,51.78,105.52,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0567,3,49.6,600.0,85.48,98.69,256.15,540.35,70.85,75.84,55.91,72.44,59.87,111.04,81.98,51.0,105.77,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0567,4,51.96,600.0,83.89,99.8,278.9,544.58,68.16,82.15,55.73,70.85,54.57,111.3,117.41,52.18,105.28,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0568,0,26.9,600.0,39.87,33.68,82.33,226.02,28.93,22.99,21.99,28.9,29.48,43.46,43.48,27.22,50.74,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0568,1,26.81,600.0,25.6,32.95,83.63,226.04,28.82,22.03,22.07,28.55,30.17,41.56,36.52,27.47,55.91,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0568,2,26.94,600.0,26.3,35.08,83.57,226.58,28.71,21.91,22.0,29.02,31.98,47.95,36.42,27.54,55.35,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0568,3,27.19,600.0,25.78,33.77,83.66,225.56,29.3,22.24,22.16,28.45,31.88,41.53,36.59,27.61,48.69,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0568,4,27.28,600.0,26.28,37.22,78.11,226.66,28.61,22.09,22.13,28.8,32.01,36.52,36.29,27.35,47.63,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0569,0,25.04,600.0,15.44,13.68,25.87,61.57,27.23,15.73,16.49,22.38,16.13,18.93,19.06,25.5,17.02,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0569,1,24.65,600.0,15.59,12.65,33.12,61.08,26.83,15.64,16.48,23.45,16.0,18.78,20.71,25.32,17.78,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0569,2,24.42,600.0,15.51,13.38,23.1,61.64,26.24,15.83,16.47,23.02,15.99,18.79,19.76,25.07,16.76,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0569,3,24.8,600.0,15.43,13.36,17.03,61.53,26.63,15.69,16.49,25.93,16.31,17.66,19.19,25.26,17.72,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0569,4,24.93,600.0,15.63,12.71,20.64,61.38,26.49,15.67,16.53,22.51,16.54,18.74,19.59,25.26,16.99,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0570,0,20.26,600.0,16.65,20.04,61.94,46.6,30.74,23.57,15.64,21.16,18.46,22.81,25.09,20.34,23.44,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0570,1,20.1,600.0,16.59,20.05,45.66,46.77,21.16,22.07,15.61,20.91,18.12,19.37,24.54,20.48,20.27,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0570,2,20.2,600.0,16.51,20.02,44.16,47.36,20.73,19.36,15.74,21.08,18.18,19.25,26.39,20.44,23.03,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0570,3,19.89,600.0,16.53,20.5,38.44,46.52,22.38,21.67,15.58,21.01,18.17,24.41,25.31,20.41,20.13,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0570,4,20.28,600.0,16.56,19.86,38.22,46.33,30.8,21.58,15.59,21.07,18.16,24.02,24.94,20.47,22.18,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0571,0,28.04,600.0,27.41,49.67,105.39,146.8,30.18,25.64,25.32,28.52,26.74,67.42,32.47,28.9,61.03,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0571,1,27.86,600.0,27.84,67.37,107.05,147.18,34.97,26.95,26.47,28.24,29.01,63.04,33.68,28.73,60.49,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0571,2,29.36,600.0,30.29,67.88,105.24,146.18,31.71,26.86,25.8,28.41,26.95,60.68,35.3,29.67,66.12,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0571,3,27.41,600.0,27.45,72.69,105.73,146.95,51.88,26.24,25.37,27.26,27.95,60.95,33.4,28.2,65.22,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0571,4,29.55,600.0,27.88,50.31,105.01,146.97,32.43,26.48,24.97,27.91,24.05,62.61,35.16,30.29,61.22,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0572,0,87.04,600.0,69.92,220.39,535.49,403.8,103.86,88.28,122.82,65.15,112.42,177.11,139.2,88.16,168.1,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0572,1,82.19,600.0,71.43,255.27,423.89,409.11,104.55,86.09,125.91,64.18,118.49,172.7,110.89,84.12,166.16,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0572,2,83.47,600.0,74.1,208.98,531.34,397.41,116.98,99.39,123.65,82.88,113.29,170.02,100.38,86.64,170.87,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0572,3,83.21,600.0,74.31,201.96,446.94,396.12,161.56,100.81,120.56,78.55,121.35,169.87,112.22,82.95,169.1,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0572,4,74.86,600.0,91.65,205.19,455.61,396.34,116.17,97.97,120.76,65.95,112.82,170.66,113.68,75.82,182.1,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0573,0,22.15,600.0,19.47,29.66,30.74,152.0,26.41,19.15,18.55,25.83,21.13,26.72,28.0,22.69,19.94,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0573,1,22.19,600.0,30.5,31.0,34.54,151.79,23.41,18.76,19.53,27.17,20.62,25.33,27.67,22.3,19.91,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0573,2,22.3,600.0,20.12,29.4,47.85,152.1,28.0,18.9,18.95,28.02,21.21,26.8,30.43,22.71,19.75,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0573,3,22.37,600.0,19.67,29.68,46.45,152.07,27.7,18.67,19.65,27.18,21.22,25.33,29.77,22.67,19.48,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0573,4,22.41,600.0,30.47,29.01,38.09,155.56,26.13,18.38,18.8,24.95,21.17,25.15,29.3,22.84,20.12,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0574,0,18.78,600.0,16.95,21.22,20.92,155.24,28.28,16.21,15.77,18.95,17.75,16.24,22.0,19.01,15.73,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0574,1,18.15,600.0,17.68,21.54,29.38,152.25,19.16,17.07,15.81,18.66,17.74,16.92,21.5,18.54,14.39,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0574,2,18.3,600.0,17.18,22.38,21.04,153.4,19.04,16.33,15.85,18.38,17.48,16.12,23.24,18.72,14.37,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0574,3,18.64,600.0,17.49,21.78,27.51,153.06,19.84,17.52,15.84,27.94,17.72,16.81,21.78,19.06,13.9,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0574,4,18.41,600.0,16.74,19.91,29.12,154.29,19.22,15.89,15.83,19.34,17.7,16.11,24.14,18.76,13.92,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0575,0,25.58,600.0,16.98,17.33,26.63,111.13,28.57,16.33,17.03,20.07,16.89,16.5,28.59,25.53,20.08,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0575,1,22.65,600.0,17.06,17.65,26.62,109.78,23.61,16.52,17.04,19.99,16.82,17.29,27.27,23.29,19.05,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0575,2,22.54,600.0,17.23,18.41,26.35,111.18,23.39,16.24,17.13,19.92,17.27,17.21,28.8,22.9,17.85,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0575,3,22.74,600.0,17.24,19.21,26.56,110.98,35.32,16.39,17.09,19.94,17.67,17.51,28.53,23.13,19.74,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0575,4,22.54,600.0,17.09,18.27,26.6,111.19,23.19,16.4,17.34,19.99,16.72,17.13,28.71,22.69,20.13,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0576,0,29.07,600.0,25.47,40.06,95.09,147.99,45.9,29.39,27.33,31.5,26.63,41.42,40.59,29.53,36.51,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0576,1,31.12,600.0,23.38,35.83,93.43,147.82,32.83,25.91,27.51,29.98,27.12,36.37,46.33,31.31,29.97,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0576,2,39.26,600.0,25.44,34.98,81.67,147.91,36.0,26.01,27.63,30.16,27.29,38.24,43.68,39.46,34.68,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0576,3,28.38,600.0,24.36,34.25,104.15,146.93,29.73,25.96,27.46,30.32,27.8,38.29,41.09,29.07,36.43,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0576,4,28.87,600.0,26.69,36.07,71.05,147.09,37.98,26.27,27.04,30.6,27.29,33.57,48.54,29.72,28.8,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0577,0,23.29,600.0,20.05,24.2,62.06,74.56,23.76,18.78,24.37,25.79,23.82,23.73,29.46,23.5,20.64,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0577,1,24.77,600.0,20.22,27.17,62.03,71.86,25.61,18.69,24.36,24.76,25.88,20.7,34.36,25.26,21.76,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0577,2,22.34,600.0,20.65,23.69,45.52,74.47,23.79,18.93,25.27,24.87,23.56,21.26,34.16,22.91,23.54,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0577,3,24.1,600.0,20.11,25.55,61.74,73.52,25.09,18.87,24.28,25.21,24.01,21.96,33.87,24.71,24.61,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0577,4,22.99,600.0,19.98,22.88,45.78,73.2,24.27,18.78,24.17,24.82,23.38,21.34,30.54,23.2,22.87,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0578,0,46.14,600.0,27.28,45.56,81.85,350.02,45.23,23.82,25.4,29.54,28.26,42.56,49.6,46.09,43.69,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0578,1,39.23,600.0,26.37,44.92,80.32,350.03,44.65,24.65,26.51,29.96,28.48,53.29,51.59,40.15,44.32,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0578,2,43.75,600.0,25.64,43.0,80.81,369.83,43.78,25.8,23.96,30.25,28.1,48.84,55.53,44.58,52.08,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0578,3,44.31,600.0,26.97,47.94,81.64,347.66,44.56,26.77,25.24,44.23,28.95,56.29,45.15,44.77,43.32,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0578,4,43.82,600.0,26.37,46.47,79.85,352.2,43.23,23.56,25.41,29.96,28.91,43.6,49.96,44.41,44.68,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
CATS-d_regions-goods200-bids1000_0579,0,29.11,600.0,31.36,43.22,71.27,128.87,34.2,27.66,25.51,29.27,27.59,39.59,33.34,29.56,34.95,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
