Settings,,default,no-redcost,default,no-redcost
,,Status,Status,PDInt,PDInt
ProblemName,Seed,,,,
bley_xl1,8.0,ok,ok,28437.56,30544.56
bley_xl1,9.0,ok,ok,29234.48,30161.42
bnatt350,0.0,ok,ok,30636.0,25030.0
bnatt350,1.0,ok,ok,32524.0,25594.0
bnatt350,2.0,ok,ok,32600.0,41649.0
bnatt350,3.0,ok,ok,61916.0,35162.0
bnatt350,4.0,ok,ok,44070.0,41048.0
bnatt350,5.0,ok,ok,31180.0,34811.0
bnatt350,6.0,ok,ok,47790.0,47057.0
bnatt350,7.0,ok,ok,16908.0,16005.0
bnatt350,8.0,ok,ok,31548.0,53506.0
bnatt350,9.0,ok,ok,20906.0,40258.0
core2536-691,0.0,timelimit,ok,2619.43,1588.18
core2536-691,1.0,ok,ok,1844.75,1582.68
core2536-691,2.0,ok,ok,1413.31,1444.73
core2536-691,3.0,ok,ok,1743.66,1458.37
core2536-691,4.0,ok,ok,1806.41,1510.83
core2536-691,5.0,ok,ok,1506.96,1547.27
core2536-691,6.0,ok,ok,1923.95,1669.66
core2536-691,7.0,timelimit,timelimit,2344.15,2311.54
core2536-691,8.0,ok,timelimit,2090.91,2668.43
core2536-691,9.0,ok,ok,3217.35,2441.24
cov1075,0.0,timelimit,timelimit,30740.13,30598.1
cov1075,1.0,timelimit,timelimit,30340.83,30511.06
cov1075,2.0,timelimit,timelimit,30696.54,30647.17
cov1075,3.0,timelimit,timelimit,30007.31,30058.0
cov1075,4.0,timelimit,timelimit,30494.96,30614.23
cov1075,5.0,timelimit,timelimit,30642.69,30590.92
cov1075,6.0,timelimit,timelimit,31073.2,31011.09
cov1075,7.0,timelimit,timelimit,30266.77,30508.17
cov1075,8.0,timelimit,timelimit,30983.9,31057.24
cov1075,9.0,timelimit,timelimit,30702.71,30695.48
csched010,0.0,timelimit,timelimit,36970.72,34943.48
csched010,1.0,timelimit,timelimit,50976.24,41754.91
csched010,2.0,timelimit,timelimit,53480.86,52292.44
csched010,3.0,timelimit,timelimit,43506.67,39775.11
csched010,4.0,timelimit,timelimit,37778.35,36907.7
csched010,5.0,timelimit,timelimit,34509.6,32628.44
csched010,6.0,timelimit,timelimit,76245.01,60752.53
csched010,7.0,timelimit,timelimit,41089.56,38613.33
csched010,8.0,timelimit,timelimit,45835.93,42838.32
csched010,9.0,timelimit,timelimit,37153.63,37177.81
danoint,0.0,timelimit,timelimit,12808.09,7185.67
danoint,1.0,timelimit,timelimit,13734.88,13580.49
danoint,2.0,timelimit,timelimit,11625.1,12947.21
danoint,3.0,timelimit,timelimit,12636.91,12128.15
danoint,4.0,timelimit,timelimit,15818.88,15726.68
danoint,5.0,timelimit,timelimit,12119.12,13658.84
danoint,6.0,timelimit,timelimit,13982.25,13875.1
danoint,7.0,timelimit,timelimit,13594.13,13565.69
danoint,8.0,timelimit,timelimit,9586.64,16118.89
danoint,9.0,timelimit,timelimit,13446.45,6566.24
dfn-gwin-UUM,0.0,ok,ok,683.89,767.46
dfn-gwin-UUM,1.0,ok,ok,796.41,769.61
dfn-gwin-UUM,2.0,ok,ok,800.05,839.02
dfn-gwin-UUM,3.0,ok,ok,830.92,813.37
dfn-gwin-UUM,4.0,ok,ok,785.57,814.61
dfn-gwin-UUM,5.0,ok,ok,784.19,799.44
dfn-gwin-UUM,6.0,ok,ok,816.38,825.84
dfn-gwin-UUM,7.0,ok,ok,779.49,833.2
dfn-gwin-UUM,8.0,ok,ok,834.88,839.29
dfn-gwin-UUM,9.0,ok,ok,852.27,801.25
eil33-2,0.0,ok,ok,1282.07,1227.88
eil33-2,1.0,ok,ok,1225.54,1239.76
eil33-2,2.0,ok,ok,1217.75,1202.96
eil33-2,3.0,ok,ok,1203.32,1379.65
eil33-2,4.0,ok,ok,1127.23,1281.28
eil33-2,5.0,ok,ok,1291.34,1376.1
eil33-2,6.0,ok,ok,1271.96,1167.62
eil33-2,7.0,ok,ok,1191.26,1320.9
eil33-2,8.0,ok,ok,1252.24,1240.57
eil33-2,9.0,ok,ok,1411.05,1242.34
eilB101,0.0,ok,ok,3639.12,4183.47
eilB101,1.0,ok,ok,3908.02,5620.15
eilB101,2.0,ok,ok,3715.87,3940.55
eilB101,3.0,ok,ok,3698.18,3465.52
eilB101,4.0,ok,ok,3641.42,4210.69
eilB101,5.0,ok,ok,3871.85,3433.84
eilB101,6.0,ok,ok,3551.89,4261.26
eilB101,7.0,ok,ok,3762.39,3455.4
eilB101,8.0,ok,ok,3616.19,3591.85
eilB101,9.0,ok,ok,3458.74,3807.5
enlight13,0.0,ok,ok,1.0,0.0
enlight13,1.0,ok,ok,2.0,1.0
enlight13,2.0,ok,ok,0.0,1.0
enlight13,3.0,ok,ok,1.0,1.0
enlight13,4.0,ok,ok,1.0,0.0
enlight13,5.0,ok,ok,2.0,1.0
enlight13,6.0,ok,ok,0.0,0.0
enlight13,7.0,ok,ok,1.0,1.0
enlight13,8.0,ok,ok,1.0,0.0
enlight13,9.0,ok,ok,2.0,2.0
enlight14,0.0,ok,ok,60000.0,60000.0
enlight14,1.0,ok,ok,60000.0,60000.0
enlight14,2.0,ok,ok,60000.0,60000.0
enlight14,3.0,ok,ok,60000.0,60000.0
enlight14,4.0,ok,ok,60000.0,60000.0
enlight14,5.0,ok,ok,60000.0,60000.0
enlight14,6.0,ok,ok,60000.0,60000.0
enlight14,7.0,ok,ok,60000.0,60000.0
enlight14,8.0,ok,ok,60000.0,60000.0
enlight14,9.0,ok,ok,60000.0,60000.0
ex9,0.0,ok,ok,4648.0,4444.0
ex9,1.0,ok,ok,4181.0,3788.0
ex9,2.0,ok,ok,3773.0,3790.0
ex9,3.0,ok,ok,4264.0,4149.0
ex9,4.0,ok,ok,4144.0,3679.0
ex9,5.0,ok,ok,4662.0,4587.0
ex9,6.0,ok,ok,3826.0,3681.0
ex9,7.0,ok,ok,4434.0,4135.0
ex9,8.0,ok,ok,5215.0,4887.0
ex9,9.0,ok,ok,4466.0,4141.0
glass4,0.0,ok,ok,42898.17,28470.99
glass4,1.0,ok,timelimit,38284.85,110778.1
glass4,2.0,timelimit,timelimit,138132.56,52885.29
glass4,3.0,ok,timelimit,86145.76,74824.33
glass4,4.0,ok,ok,45648.17,33314.35
glass4,5.0,ok,ok,92470.76,23309.87
glass4,6.0,ok,ok,80209.96,103410.23
glass4,7.0,timelimit,ok,142111.94,27708.64
glass4,8.0,ok,ok,57844.96,83441.55
glass4,9.0,timelimit,ok,94991.6,83134.78
gmu-35-40,0.0,timelimit,timelimit,187.52,206.58
gmu-35-40,1.0,timelimit,timelimit,103.11,179.03
gmu-35-40,2.0,timelimit,timelimit,146.15,143.61
gmu-35-40,3.0,timelimit,timelimit,181.81,136.92
gmu-35-40,4.0,timelimit,timelimit,94.16,188.76
gmu-35-40,5.0,timelimit,timelimit,177.75,113.19
gmu-35-40,6.0,timelimit,timelimit,151.67,159.09
gmu-35-40,7.0,timelimit,timelimit,111.0,117.92
gmu-35-40,8.0,timelimit,timelimit,117.85,113.6
gmu-35-40,9.0,timelimit,timelimit,176.04,160.1
iis-100-0-cov,0.0,ok,ok,8077.7,8611.68
iis-100-0-cov,1.0,ok,ok,8419.93,8280.03
iis-100-0-cov,2.0,ok,ok,8592.03,8686.41
iis-100-0-cov,3.0,ok,ok,8961.23,9349.63
iis-100-0-cov,4.0,ok,ok,9606.9,10073.46
iis-100-0-cov,5.0,ok,ok,7917.18,8315.28
iis-100-0-cov,6.0,ok,ok,8450.66,8986.27
iis-100-0-cov,7.0,ok,ok,10159.69,10253.54
iis-100-0-cov,8.0,ok,ok,8472.01,8332.44
iis-100-0-cov,9.0,ok,ok,8861.48,8798.27
iis-bupa-cov,0.0,ok,ok,24715.45,20233.25
iis-bupa-cov,1.0,ok,ok,24157.66,20965.62
iis-bupa-cov,2.0,ok,ok,22236.89,21773.42
iis-bupa-cov,3.0,ok,ok,23284.36,21818.0
iis-bupa-cov,4.0,ok,ok,21054.41,20368.67
iis-bupa-cov,5.0,ok,ok,22138.71,20988.38
iis-bupa-cov,6.0,ok,ok,21852.11,21495.08
iis-bupa-cov,7.0,ok,ok,21602.45,22333.39
iis-bupa-cov,8.0,ok,timelimit,22294.4,35552.66
