Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
p0282,0.5,0.5,0.5,0.5,1.2239999999999998,0.5,0.5,1.074,0.5,0.5,0.5,1.162,0.5,0.5
p0548,0.5,0.5,0.5,0.5,0.5439999999999999,0.5,0.5,0.5,0.5,0.5,0.514,0.5519999999999999,0.5,1.736
p100x588b,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
p2756,1.4140000000000001,1.8060000000000003,0.9480000000000001,1.0079999999999998,3.1740000000000004,1.75,1.4140000000000001,2.1759999999999997,1.7439999999999998,1.4780000000000002,2.124,3.0919999999999996,1.1880000000000002,12.290000000000001
p6b,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pb-simp-nonunif,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pg,15.398,11.05,16.516000000000002,600.0,18.842000000000002,19.814000000000004,15.591999999999999,17.136000000000003,15.285999999999998,12.235999999999999,600.0,15.362,8.876,600.0
pg5_34,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pigeon-10,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pigeon-12,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pigeon-13,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pigeon-19,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pk1,116.55199999999999,98.244,237.618,117.69800000000001,110.41399999999999,191.82,92.81200000000001,71.78799999999998,116.59200000000001,114.346,116.428,122.394,112.21399999999998,116.644
pp08a,1.0719999999999998,1.6,511.392,1.6079999999999999,1.72,1.166,1.15,0.9800000000000001,1.0699999999999998,1.068,2.214,1.282,1.916,600.0
pp08aCUTS,1.054,1.49,201.03199999999998,2.0639999999999996,1.3820000000000001,1.102,1.13,0.952,1.036,1.044,1.834,1.096,1.6,600.0
probportfolio,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
prod1,17.5,17.414,19.0,38.974000000000004,26.572000000000003,21.558,17.5,16.27,17.524,19.172,189.138,25.78,15.297999999999998,13.764
prod2,76.30199999999999,109.01199999999999,74.96000000000001,102.154,104.026,68.63,78.686,229.58,84.10400000000001,98.166,223.97600000000003,125.174,80.74,85.828
protfold,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
pw-myciel4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
qap10,119.01399999999998,85.94,106.19399999999999,75.86,203.496,132.15,107.96199999999999,86.184,138.192,92.676,94.798,155.71800000000002,113.34200000000001,105.878
qiu,50.227999999999994,47.72,62.56,135.152,175.974,63.69,46.75,45.105999999999995,49.624,48.849999999999994,53.581999999999994,55.748000000000005,55.074,58.996
qnet1,4.029999999999999,4.156,4.354000000000001,1.206,17.426,3.936,4.204,4.4079999999999995,5.162,5.394,6.3740000000000006,9.325999999999999,4.192,2.134
qnet1_o,3.9659999999999997,3.5120000000000005,5.0200000000000005,0.9099999999999999,9.623999999999999,3.636,5.202,4.9079999999999995,4.702,5.54,5.302,4.348,2.8760000000000003,1.6720000000000002
queens-30,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
r80x800,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rail02,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rail03,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rail507,449.38800000000003,600.0,273.246,600.0,600.0,272.502,227.032,218.74,449.55,600.0,600.0,521.842,448.184,450.62800000000004
ramos3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
ran14x18_1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
ran16x16,317.96,431.54200000000003,600.0,554.71,287.764,407.226,343.504,441.27799999999996,313.196,311.34000000000003,454.254,229.63600000000002,423.15599999999995,600.0
rd-rplusc-21,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
reblock354,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
reblock420,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
reblock67,192.91000000000003,265.922,185.92000000000002,326.276,285.82599999999996,144.648,173.54,173.12599999999998,166.57199999999997,262.26,361.436,133.912,203.24200000000002,171.42199999999997
rentacar,2.546,3.8579999999999997,2.126,1.3880000000000001,3.5620000000000003,2.698,2.94,2.8299999999999996,2.4619999999999997,2.162,5.484,3.5,2.062,1.784
rgn,0.5,0.504,2.32,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.674
rlp1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmatr100-p10,179.044,168.558,223.72199999999998,198.22199999999998,399.512,231.73200000000003,168.512,114.31199999999998,180.07,176.296,185.418,184.13799999999998,179.044,180.06799999999998
rmatr100-p5,298.73400000000004,371.52799999999996,412.4,253.02399999999997,600.0,471.0780000000001,368.28000000000003,365.67400000000004,300.87600000000003,301.13800000000003,449.65200000000004,310.46799999999996,300.356,297.28200000000004
rmatr200-p10,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmatr200-p20,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmatr200-p5,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmine10,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmine14,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmine21,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmine25,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rmine6,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rocII-4-11,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rocII-7-11,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rocII-9-11,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rococoB10-011000,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rococoC10-001000,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rococoC11-011100,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
rococoC12-111000,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
roll3000,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,590.45,600.0,600.0
rout,66.63,28.894,40.238,313.02799999999996,62.076,72.68199999999999,70.266,66.974,64.524,59.215999999999994,72.02799999999999,38.68,47.754000000000005,61.678
roy,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.522
rvb-sub,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
satellites1-25,600.0,600.0,589.5139999999999,415.59,600.0,600.0,600.0,600.0,600.0,526.742,600.0,598.118,595.63,600.0
satellites2-60,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
satellites3-40,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
satellites3-40-fs,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sct1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sct32,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sct5,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
set1ch,0.6359999999999999,39.008,600.0,2.2960000000000003,1.18,0.7260000000000001,0.5519999999999999,0.5,0.6519999999999999,0.634,1.6760000000000002,1.1019999999999999,32.832,600.0
set3-10,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
set3-15,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
set3-20,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
seymour-disj-10,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
shipsched,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
shs1023,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
siena1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sing161,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sing2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sing359,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sp97ar,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sp97ic,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sp98ar,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sp98ic,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sp98ir,113.25399999999999,81.992,179.894,79.414,213.708,117.796,87.00800000000001,85.684,95.316,98.26599999999999,139.746,136.41,119.422,107.276
splan1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stein27,0.8479999999999999,0.7380000000000001,0.792,0.646,1.1380000000000001,1.016,0.8099999999999999,0.712,0.842,0.844,0.892,0.9299999999999999,0.818,0.67
stein45,12.26,11.448000000000002,12.208000000000002,12.102,14.860000000000003,13.466,11.99,10.1,12.184,12.069999999999999,12.146,11.984,11.368,10.928
stockholm,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stp3d,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
